Title,sentiment_title,Tag,Created Date,url,Content,sentiment_content
Wiz’s chief executive said the company walked away from a “humbling offer” and would pursue an initial public offering instead.,0,GOOGL,2024-07-23T04:00:41+0000,https://www.nytimes.com/2024/07/23/technology/google-wiz-deal-ipo.html,"Last week, it looked like Google was poised to snap up the cybersecurity start-up Wiz for $23 billion, in what would have been its largest acquisition ever.",0.5423
"On her first full day in the race, Kamala Harris drew endorsements from her final possible rivals, hauled in record sums of cash and attacked Donald Trump.",-0.4588,GOOGL,2024-07-22T23:37:43+0000,https://www.nytimes.com/2024/07/22/us/politics/kamala-harris-trump-2024-election.html,"Vice President Kamala Harris moved swiftly to assert herself as the de facto Democratic nominee for president on Monday, her first full day as a candidate, as virtually every potential remaining rival bowed out and she clinched the support of enough delegates to win the nomination.",0.8271
"Recommendations from a city-dweller on where to find excellence in music, art, theater and food without spending a fortune.",0.6249,GOOGL,2024-07-22T09:01:43+0000,https://www.nytimes.com/2024/07/22/travel/chicago-budget-travel.html,"One June morning, I went to see what the tourists were up to in Chicago, where I live. My mission was to join them while adhering to a strict travel budget. So I started with a free Chicago Greeter tour of the downtown Loop, ground zero for visitors and home to popular attractions like Millennium Park and the Art Institute of Chicago.",0.9118
Times journalists from around the newsroom talk about their beats and our work.,0,GOOGL,2024-07-21T07:48:59+0000,https://www.nytimes.com/2024/07/21/briefing/answers-to-questions-from-morning-readers.html,"The Morning recently invited its readers to submit questions. Below, we’re publishing a selection of them, along with answers from Times staff members. (We also published some answers in today’s edition of The Morning.)",0
Have translation tools made learning a language pointless? Not a chance.,-0.1877,GOOGL,2024-07-21T05:00:09+0000,https://www.nytimes.com/2024/07/21/opinion/foreign-language-learning.html,"One morning late last autumn, I took off from London’s Heathrow Airport, my base as a Boeing 787 pilot, and landed the next morning at Haneda Airport in Tokyo. By early afternoon I was walking under the turning foliage of Rikugien, one of my favorite gardens, where I paused by a wooden sign at the edge of a stream. Despite having studied Japanese for years, the text on the sign — something about slippery stones ahead — included several characters I didn’t recognize, so I fired up an app I’d recently discovered. It scanned and translated all of them instantly.",-0.2212
"Elon Musk, David Sacks, Marc Andreessen and other influential figures in technology have endorsed former President Donald Trump.",0.5994,GOOGL,2024-07-20T12:00:03+0000,https://www.nytimes.com/2024/07/20/business/dealbook/silicon-valley-trump.html,How did the Democrats lose Silicon Valley? Or did they?,-0.4696
"The assassination attempt, like so much else, should be a wake-up call. It was a near miss for Trump but also for America — and a chance to make things better.",0.6542,GOOGL,2024-07-20T11:00:23+0000,https://www.nytimes.com/2024/07/20/opinion/trump-biden-america.html,"An assassination attempt. An official Republican presidential nominee who is also the most polarizing figure in modern American history. Growing talk that Donald Trump could win in a landslide. His anointing of an heir to realign the parties and sustain Trumpism for years to come. And in the middle of it all, tormented by polls and criticism, able to change the entire dynamic only by sacrificing himself: Biden Agonistes.",0.4588
Ezra Klein discusses the anti-system populism on display at the 2024 G.O.P. convention — and what this might mean for the Democrats.,0,GOOGL,2024-07-20T11:00:13+0000,https://www.nytimes.com/2024/07/20/opinion/ezra-klein-podcast-rnc.html,"This year’s Republican National Convention was Donald Trump’s third as the party’s nominee, but it was the first that felt like a full expression of a G.O.P. that has fully fallen in line with Trumpism. And the mood was jubilant. Speakers even made efforts to reach out to unions, Black voters and immigrants — imagining a big-tent Republican Party that could be far more formidable at the ballot box.",0.8677
"Patrick Byrne, Mike Lindell and other Trump supporters who made baseless assertions that Dominion Voting Systems rigged the 2020 election are using court cases to keep spreading lies about the company.",-0.34,GOOGL,2024-07-20T09:02:21+0000,https://www.nytimes.com/2024/07/20/us/politics/dominion-voting-machine.html,"Nearly four years later, zealous supporters of former President Donald J. Trump who promoted the conspiracy theory that Dominion Voting Systems had rigged its machines to rob him of the 2020 election are still at it.",-0.5106
"With each cascade of digital disaster, new vulnerabilities emerge. The latest chaos wasn’t caused by an adversary, but it provided a road map of American vulnerabilities at a critical moment.",-0.8573,GOOGL,2024-07-20T02:02:37+0000,https://www.nytimes.com/2024/07/19/us/politics/crowdstrike-outage.html,"In the worst-case scenarios that the Biden administration has quietly simulated over the past year or so, Russian hackers working on behalf of Vladimir V. Putin bring down hospital systems across the United States. In others, China’s military hackers trigger chaos, shutting down water systems and electric grids to distract Americans from an invasion of Taiwan.",-0.4767
